mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.05878853797912598,0.011038622558063912,0.033379554748535156,0.00012817269870661605,1,1,2,1,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1}",0.14625586252262915,0.15268035848982858,0.15420299890943534,0.15104640664063104,0.0034439892732843827,57
0.13067126274108887,0.002469124718944903,0.04031848907470703,0.003653810149735505,1,1,2,10,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",0.30830091889698835,0.3057030618857747,0.23764457901470482,0.28388285326582263,0.032712594104349325,45
0.6580622990926107,0.010327761091925654,0.22440107663472494,0.012910964724357474,1,1,2,100,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.208769680809876,0.18174914399609557,0.18636308101738688,0.19229396860778614,0.011801381928505382,49
0.056790828704833984,0.01162258536231474,0.03162423769632975,0.002522181955054131,1,1,5,1,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1}",0.14625586252262915,0.15268035848982858,0.15420299890943534,0.15104640664063104,0.0034439892732843827,57
0.10788432757059734,0.007134508339263206,0.05048497517903646,0.0075956437863593015,1,1,5,10,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10}",0.30830091889698835,0.3057030618857747,0.23764457901470482,0.28388285326582263,0.032712594104349325,45
0.6472156047821045,0.01222273908564653,0.25617225964864093,0.033660551824877524,1,1,5,100,"{'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.208769680809876,0.18174914399609557,0.18636308101738688,0.19229396860778614,0.011801381928505382,49
0.053403615951538086,0.00622601415158868,0.02599032719930013,0.0043351537159996255,1,2,2,1,"{'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1}",0.14625586252262915,0.15268035848982858,0.15420299890943534,0.15104640664063104,0.0034439892732843827,57
0.10568435986836751,0.007084311276381769,0.053653717041015625,0.005969681413222841,1,2,2,10,"{'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",0.30830091889698835,0.3057030618857747,0.23764457901470482,0.28388285326582263,0.032712594104349325,45
0.655951738357544,0.01632970640894648,0.23351518313090006,0.0021849904845078617,1,2,2,100,"{'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.208769680809876,0.18174914399609557,0.18636308101738688,0.19229396860778614,0.011801381928505382,49
0.04937211672465006,0.012181919614530879,0.033329407374064125,0.00010797533807054151,1,2,5,1,"{'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 1}",0.14625586252262915,0.15268035848982858,0.15420299890943534,0.15104640664063104,0.0034439892732843827,57
0.1381685733795166,0.006900282038203571,0.044011831283569336,0.013607310262407463,1,2,5,10,"{'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 10}",0.30830091889698835,0.3057030618857747,0.23764457901470482,0.28388285326582263,0.032712594104349325,45
0.6855265299479166,0.011399933371398333,0.26410333315531415,0.013593656177205997,1,2,5,100,"{'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.208769680809876,0.18174914399609557,0.18636308101738688,0.19229396860778614,0.011801381928505382,49
0.07845687866210938,0.017512467988685183,0.023121198018391926,0.0047353188058036864,2,1,2,1,"{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1}",0.18163006125803077,0.20034643124998644,0.1810623628258514,0.1876796184446229,0.00895978721332401,55
0.12706669171651205,0.004981967482451089,0.050920327504475914,0.003616882885571411,2,1,2,10,"{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",0.47474752999258113,0.4118041161179937,0.46324631555453666,0.44993265388837056,0.02736675023658889,37
0.8447477022806803,0.011877501624115406,0.24020727475484213,0.0044040378953113515,2,1,2,100,"{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.49055267503177047,0.5201579796522874,0.5472142256751265,0.5193082934530614,0.023139782558835264,30
0.05475632349650065,0.011347481191910912,0.031133731206258137,0.002891416009755966,2,1,5,1,"{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1}",0.18163006125803077,0.20034643124998644,0.1810623628258514,0.1876796184446229,0.00895978721332401,55
0.12680959701538086,0.003437320705312876,0.05708750089009603,0.005371564090815321,2,1,5,10,"{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10}",0.47474752999258113,0.4118041161179937,0.46324631555453666,0.44993265388837056,0.02736675023658889,37
0.8694282372792562,0.01731758393154655,0.25802334149678546,0.014334638837192487,2,1,5,100,"{'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.49055267503177047,0.5201579796522874,0.5472142256751265,0.5193082934530614,0.023139782558835264,30
0.05457989374796549,0.0016239600555930172,0.033841451009114586,0.0045830738636712595,2,2,2,1,"{'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1}",0.18311036789297658,0.20034643124998644,0.1810623628258514,0.18817305398960482,0.008648387773892702,53
