mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.2325565814971924,0.1298716658703177,0.011042070388793946,0.010012804585336474,10,1,2,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7835144927536232,0.7980072463768116,0.7907608695652174,0.7835144927536232,0.779891304347826,0.7871376811594203,0.006481356456521158,20
2.0689401626586914,0.1319007233208699,0.0045245647430419925,0.004222304359939428,10,1,10,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.7789855072463768,0.7971014492753623,0.792572463768116,0.7844202898550725,0.782608695652174,0.7871376811594203,0.006680829316878891,20
1.9811153888702393,0.09664788635833332,0.010851478576660157,0.0038102528090635983,10,1,20,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.7844202898550725,0.7971014492753623,0.792572463768116,0.7817028985507246,0.7817028985507246,0.7875,0.00623883165134876,19
1.6988011360168458,0.13517003709577016,0.007880640029907227,0.000809031373778177,10,5,2,"{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.7762681159420289,0.7971014492753623,0.7898550724637681,0.7880434782608695,0.7817028985507246,0.7865942028985506,0.007123044656281711,24
1.6321590423583985,0.052735491947350964,0.005163860321044922,0.0026123370520645733,10,5,10,"{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.7780797101449275,0.7971014492753623,0.7898550724637681,0.7889492753623188,0.7817028985507246,0.7871376811594202,0.00665622212712821,22
1.5503783702850342,0.04588908673152271,0.009155797958374023,0.0027474366677987436,10,5,20,"{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 20}",0.7817028985507246,0.7961956521739131,0.7889492753623188,0.7844202898550725,0.782608695652174,0.7867753623188406,0.005331137307812387,23
1.5835472106933595,0.049470427600210386,0.009682989120483399,0.0038473741684553198,10,10,2,"{'max_depth': 10, 'min_samples_leaf': 10, 'min_samples_split': 2}",0.7807971014492754,0.7943840579710145,0.782608695652174,0.782608695652174,0.7780797101449275,0.7836956521739131,0.005595451163579906,25
1.5895670890808105,0.027992383236049568,0.0069391727447509766,0.005749425252213753,10,10,10,"{'max_depth': 10, 'min_samples_leaf': 10, 'min_samples_split': 10}",0.7807971014492754,0.7943840579710145,0.782608695652174,0.782608695652174,0.7780797101449275,0.7836956521739131,0.005595451163579906,25
1.5718234539031983,0.05946719196559553,0.010551071166992188,0.006712408858377989,10,10,20,"{'max_depth': 10, 'min_samples_leaf': 10, 'min_samples_split': 20}",0.7807971014492754,0.7943840579710145,0.782608695652174,0.782608695652174,0.7780797101449275,0.7836956521739131,0.005595451163579906,25
3.7339538097381593,0.08493235644672811,0.010100221633911133,0.004480023124643443,20,1,2,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.875,0.8713768115942029,0.8686594202898551,0.8623188405797102,0.8532608695652174,0.8661231884057973,0.007651707276066249,11
3.547485685348511,0.06957003090022754,0.004459238052368164,0.003929352220936793,20,1,10,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8704710144927537,0.8695652173913043,0.875,0.8632246376811594,0.855072463768116,0.8666666666666668,0.006907853610484639,10
3.4113128662109373,0.09706257233747588,0.009844064712524414,0.008327712524371114,20,1,20,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.865036231884058,0.8659420289855072,0.8731884057971014,0.8596014492753623,0.855072463768116,0.863768115942029,0.006132721333264757,12
3.054066467285156,0.05644195106092639,0.00565791130065918,0.003946995746617802,20,5,2,"{'max_depth': 20, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.8614130434782609,0.8577898550724637,0.8659420289855072,0.8668478260869565,0.8541666666666666,0.8612318840579711,0.004806702594717981,15
3.004508543014526,0.05409060329078608,0.011809062957763673,0.005768481658322924,20,5,10,"{'max_depth': 20, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.865036231884058,0.8559782608695652,0.8641304347826086,0.8677536231884058,0.855072463768116,0.8615942028985506,0.005104711160726574,14
2.9518311500549315,0.10376664936392928,0.006034231185913086,0.007417662405465205,20,5,20,"{'max_depth': 20, 'min_samples_leaf': 5, 'min_samples_split': 20}",0.8695652173913043,0.8541666666666666,0.8668478260869565,0.865036231884058,0.855072463768116,0.8621376811594204,0.0063120476051392585,13
2.713917636871338,0.04859077633310582,0.009019708633422852,0.0027502339583774893,20,10,2,"{'max_depth': 20, 'min_samples_leaf': 10, 'min_samples_split': 2}",0.8623188405797102,0.8568840579710145,0.8596014492753623,0.8659420289855072,0.8532608695652174,0.8596014492753623,0.004362896586518935,18
2.7519648551940916,0.06935439962219178,0.008994150161743163,0.005456771158844336,20,10,10,"{'max_depth': 20, 'min_samples_leaf': 10, 'min_samples_split': 10}",0.8623188405797102,0.8559782608695652,0.8623188405797102,0.8659420289855072,0.8532608695652174,0.859963768115942,0.004639945099589022,16
2.8740593433380126,0.10886551854990474,0.008135986328125,0.00128862094134931,20,10,20,"{'max_depth': 20, 'min_samples_leaf': 10, 'min_samples_split': 20}",0.8623188405797102,0.8568840579710145,0.8614130434782609,0.8659420289855072,0.8532608695652174,0.859963768115942,0.004422665078164371,16
