mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.0111488819122316,0.07275901577241549,0.010568761825561523,0.00470180478832415,10,1,2,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7771739130434783,0.7961956521739131,0.7916666666666666,0.7853260869565217,0.7835144927536232,0.7867753623188406,0.0065967903826207016,22
1.8691845417022706,0.041353417587013254,0.00849609375,0.004950007767484584,10,1,10,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.779891304347826,0.7989130434782609,0.792572463768116,0.7862318840579711,0.782608695652174,0.7880434782608696,0.006898345204586875,19
1.8067681312561035,0.04411140779495172,0.0047607421875,0.004244663666964142,10,1,20,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.7807971014492754,0.7961956521739131,0.792572463768116,0.7835144927536232,0.7844202898550725,0.7875,0.005859044068404439,20
1.5824859142303467,0.04675418498672891,0.003926420211791992,0.004994850717660463,10,5,2,"{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.7771739130434783,0.7961956521739131,0.7898550724637681,0.7880434782608695,0.782608695652174,0.7867753623188405,0.0064712214128593275,23
1.5244245529174805,0.028200407722034308,0.008595514297485351,0.006814626438297986,10,5,10,"{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.7780797101449275,0.7971014492753623,0.7898550724637681,0.7880434782608695,0.7817028985507246,0.7869565217391303,0.006616660278170177,21
1.458940601348877,0.056621242811649,0.011295652389526368,0.004559137130668047,10,5,20,"{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 20}",0.779891304347826,0.7952898550724637,0.7889492753623188,0.7853260869565217,0.782608695652174,0.7864130434782608,0.00535570489097626,24
1.4271520614624023,0.05294822911562849,0.004001474380493164,0.0033893135856200053,10,10,2,"{'max_depth': 10, 'min_samples_leaf': 10, 'min_samples_split': 2}",0.7789855072463768,0.7943840579710145,0.782608695652174,0.782608695652174,0.7780797101449275,0.7833333333333334,0.005825338837251293,26
1.436820125579834,0.040054446994663706,0.008953619003295898,0.0013526937683205073,10,10,10,"{'max_depth': 10, 'min_samples_leaf': 10, 'min_samples_split': 10}",0.7807971014492754,0.7943840579710145,0.782608695652174,0.782608695652174,0.7780797101449275,0.7836956521739131,0.005595451163579906,25
1.4772062301635742,0.11307849371014023,0.008944177627563476,0.004823366358194314,10,10,20,"{'max_depth': 10, 'min_samples_leaf': 10, 'min_samples_split': 20}",0.7789855072463768,0.7943840579710145,0.782608695652174,0.782608695652174,0.7780797101449275,0.7833333333333334,0.005825338837251293,26
3.5424551010131835,0.22595501752117284,0.003988409042358398,0.0038580460640845918,20,1,2,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8713768115942029,0.8713768115942029,0.8722826086956522,0.8668478260869565,0.8523550724637681,0.8668478260869567,0.007491330843527315,11
3.400836229324341,0.18831372509531294,0.007209062576293945,0.0066222992429360835,20,1,10,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8740942028985508,0.8768115942028986,0.8786231884057971,0.865036231884058,0.8523550724637681,0.8693840579710145,0.009711902285275539,7
3.183373546600342,0.1760869879082325,0.006064891815185547,0.005131255943361085,20,1,20,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.8704710144927537,0.8704710144927537,0.8740942028985508,0.8632246376811594,0.855072463768116,0.8666666666666668,0.006788041302606965,12
2.897521162033081,0.15877755253966255,0.006827688217163086,0.002113670852274829,20,5,2,"{'max_depth': 20, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.8632246376811594,0.8568840579710145,0.8641304347826086,0.8668478260869565,0.855072463768116,0.8612318840579709,0.004488953512088344,13
2.899871253967285,0.06717886053102196,0.007956504821777344,0.002168381789259072,20,5,10,"{'max_depth': 20, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.8614130434782609,0.8568840579710145,0.8641304347826086,0.8668478260869565,0.8559782608695652,0.8610507246376811,0.004154835123615838,14
2.7311781883239745,0.14572762424324426,0.003958940505981445,0.0032600431832265596,20,5,20,"{'max_depth': 20, 'min_samples_leaf': 5, 'min_samples_split': 20}",0.8668478260869565,0.8541666666666666,0.8659420289855072,0.8641304347826086,0.8532608695652174,0.8608695652173914,0.005914792651200905,15
2.5509387493133544,0.13481103559880825,0.008963775634765626,0.008606076804312137,20,10,2,"{'max_depth': 20, 'min_samples_leaf': 10, 'min_samples_split': 2}",0.8623188405797102,0.8568840579710145,0.8614130434782609,0.8659420289855072,0.8532608695652174,0.859963768115942,0.004422665078164371,17
2.581631326675415,0.10084732230262192,0.010372495651245118,0.004408265517198447,20,10,10,"{'max_depth': 20, 'min_samples_leaf': 10, 'min_samples_split': 10}",0.8641304347826086,0.8568840579710145,0.8605072463768116,0.8659420289855072,0.8532608695652174,0.8601449275362318,0.0046399450995889945,16
2.6340128898620607,0.16710517673911107,0.009796953201293946,0.0026632891220498265,20,10,20,"{'max_depth': 20, 'min_samples_leaf': 10, 'min_samples_split': 20}",0.8623188405797102,0.8559782608695652,0.8596014492753623,0.8659420289855072,0.8532608695652174,0.8594202898550725,0.004488953512088353,18
